ières,Type,Teneur en alcool,Brasserie,brasserie,localité,province,Principales bières,Production annuelle en hl,Géolocalisation
Brogne Blonde,Blonde,6.5 %,Abbaye de Brogne,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Brown Sugar,Brune,9 %,Brasserie Grain d'Orge,Brasserie Grain d'Orge,Plombières,Liège,"Brice, Joup",1 360,"50° 43′ 26,28″ N, 5° 55′ 10,46″ E"
Bruegel,Ambrée,5 %,Brasserie Van Steenberge,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Brugge Blond,"Spéciale, Fermentation haute","6,5 %",Brasserie Palm (Précédemment brassée dans la Brasserie De Gouden Boom),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Brugge Tripel,"Spéciale, Fermentation haute","8,7 %",Brasserie Palm (Précédemment brassée dans la Brasserie De Gouden Boom),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Brugs,Blanche,"4,8 %",Alken-Maes (Heineken) (Précédemment brassée dans la Brasserie De Gouden Boom),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Brugs Beertje 20,Blonde,"6,5 %",Brasserie De Regenboog,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Brugs Beertje 25,Ambrée,9 %,Brasserie De Regenboog,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Brugse Babbelaar,Blonde,"6,5 %",De Proefbrouwerij,De Proefbrouwerij,Lochristi,Flandre-Occidentale,bières à façon,,
Brugse Bok,Brune,"6,5 %",Brasserie De Halve Maan,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Brugse Zot Blond,Blonde dorée,6 %,Brasserie De Halve Maan,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Brugse Zot Dubbel,Brune,"7,5 %",Brasserie De Halve Maan,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Bruin Leroy,Bière de table,"1,8 %",Brasserie Het Sas,Brasserie Het Sas,Ypres,Flandre-Occidentale,"Sas Pils, Paulus,Yperman",,
Brune,Brune,"6,8 %",Brasserie de Bellevaux,Brasserie de Bellevaux,Malmedy,Liège,Bellevaux,,"50° 23′ 31″ N, 6° 00′ 26″ E"
Brunehaut Terroir,Blanche,5 %,Brasserie de Brunehaut,Brasserie de Brunehaut,Brunehaut,Hainaut,"Abbaye de Saint-Martin, Brunehaut",,"50° 30′ 39,96″ N, 3° 23′ 21,48″ E"
Brunehaut Tradition,Ambrée,"6,5 %",Brasserie de Brunehaut,Brasserie de Brunehaut,Brunehaut,Hainaut,"Abbaye de Saint-Martin, Brunehaut",,"50° 30′ 39,96″ N, 3° 23′ 21,48″ E"
Brunehaut Village,Blonde,"6,5 %",Brasserie de Brunehaut,Brasserie de Brunehaut,Brunehaut,Hainaut,"Abbaye de Saint-Martin, Brunehaut",,"50° 30′ 39,96″ N, 3° 23′ 21,48″ E"
Brunehaut Bio Amber,Bio,"6,5 %",Brasserie de Brunehaut,Brasserie de Brunehaut,Brunehaut,Hainaut,"Abbaye de Saint-Martin, Brunehaut",,"50° 30′ 39,96″ N, 3° 23′ 21,48″ E"
Brunehaut Bio Blanche,"Bio, Blanche",5 %,Brasserie de Brunehaut,Brasserie de Brunehaut,Brunehaut,Hainaut,"Abbaye de Saint-Martin, Brunehaut",,"50° 30′ 39,96″ N, 3° 23′ 21,48″ E"
Brunehaut Bio Blonde,Bio,"6,5 %",Brasserie de Brunehaut,Brasserie de Brunehaut,Brunehaut,Hainaut,"Abbaye de Saint-Martin, Brunehaut",,"50° 30′ 39,96″ N, 3° 23′ 21,48″ E"
Brunette,Fermentation haute,9 %,Brasserie Van Steenberge pour Hopduvel Gent,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Brussels Framboos,Fruitée,"3,5 %",Brasserie Van Steenberge,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Brussels Kriek,Fruitée,5 %,Brasserie Van Steenberge,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Brussels Perzik,Fruitée,4 %,Brasserie Van Steenberge,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Brussels Fruit Beer ""Apple""",Fruitée,"3,2 %",Brasserie du Bocq,Brasserie du Bocq,Yvoir,Namur,"Gauloise, Blanche de Namur, Triple Moine, Saison 1858",94 000,"50° 18′ 40,56″ N, 4° 56′ 37,23″ E"
"Brussels Fruit Beer ""Peaches""",Fruitée,"3,2 %",Brasserie du Bocq,Brasserie du Bocq,Yvoir,Namur,"Gauloise, Blanche de Namur, Triple Moine, Saison 1858",94 000,"50° 18′ 40,56″ N, 4° 56′ 37,23″ E"
"Brussels Fruit Beer ""Red Fruit""",Fruitée,"3,2 %",Brasserie du Bocq,Brasserie du Bocq,Yvoir,Namur,"Gauloise, Blanche de Namur, Triple Moine, Saison 1858",94 000,"50° 18′ 40,56″ N, 4° 56′ 37,23″ E"
Brut,Blonde,8 %,Brasserie De Vlier,Brasserie De Vlier,Holsbeek,Brabant flamand,Kessel,,
Bruynen Moriaen,Brune,9 %,Brasserie Van Eecke,Brasserie Van Eecke,Poperinge,Flandre-Occidentale,"Kapittel, Hommelbier",,
BRWN,"Fermentation haute, Bio",7 %,De Proefbrouwerij pour la Brasserie Jessenhofke,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Buffalo,"Fermentation haute, Brune","6,5 %",Brasserie Van Den Bossche,Brasserie Van Den Bossche,Herzele,Flandre-Orientale,"Pater Lieven, Buffalo",,
Buffalo Belgian Stout,Stout,9 %,Brasserie Van Den Bossche,Brasserie Van Den Bossche,Herzele,Flandre-Orientale,"Pater Lieven, Buffalo",,
Buffalo Bitter,Blonde,8 %,Brasserie Van Den Bossche,Brasserie Van Den Bossche,Herzele,Flandre-Orientale,"Pater Lieven, Buffalo",,
Bush Ambrée,"Fermentation haute, Ambrée",12 %,Brasserie Dubuisson,Brasserie Dubuisson,Leuze-en-Hainaut,Hainaut,"Bush, Cuvée des Trolls",22 000,"50° 35′ 16,88″ N, 3° 32′ 32,7″ E"
Bush Ambrée Triple,"Triple, Ambrée",12 %,Brasserie Dubuisson,Brasserie Dubuisson,Leuze-en-Hainaut,Hainaut,"Bush, Cuvée des Trolls",22 000,"50° 35′ 16,88″ N, 3° 32′ 32,7″ E"
Bush Blonde,"Fermentation haute, Blonde","10,5 %",Brasserie Dubuisson,Brasserie Dubuisson,Leuze-en-Hainaut,Hainaut,"Bush, Cuvée des Trolls",22 000,"50° 35′ 16,88″ N, 3° 32′ 32,7″ E"
Bush Blonde Triple,"Triple, Blonde","10,5 %",Brasserie Dubuisson,Brasserie Dubuisson,Leuze-en-Hainaut,Hainaut,"Bush, Cuvée des Trolls",22 000,"50° 35′ 16,88″ N, 3° 32′ 32,7″ E"
Bush de Noël,Bière de Noël,12 %,Brasserie Dubuisson,Brasserie Dubuisson,Leuze-en-Hainaut,Hainaut,"Bush, Cuvée des Trolls",22 000,"50° 35′ 16,88″ N, 3° 32′ 32,7″ E"
Bush de Noël Premium,"Bière de Noël, Triple",13 %,Brasserie Dubuisson,Brasserie Dubuisson,Leuze-en-Hainaut,Hainaut,"Bush, Cuvée des Trolls",22 000,"50° 35′ 16,88″ N, 3° 32′ 32,7″ E"
Bush de Nuits,"Ambrée, Triple",13 %,Brasserie Dubuisson,Brasserie Dubuisson,Leuze-en-Hainaut,Hainaut,"Bush, Cuvée des Trolls",22 000,"50° 35′ 16,88″ N, 3° 32′ 32,7″ E"
Bush Prestige,"Ambrée, Triple",13 %,Brasserie Dubuisson,Brasserie Dubuisson,Leuze-en-Hainaut,Hainaut,"Bush, Cuvée des Trolls",22 000,"50° 35′ 16,88″ N, 3° 32′ 32,7″ E"
Bush 7,Ambrée,"7,5 %",Brasserie Dubuisson,Brasserie Dubuisson,Leuze-en-Hainaut,Hainaut,"Bush, Cuvée des Trolls",22 000,"50° 35′ 16,88″ N, 3° 32′ 32,7″ E"
La Cambrée,Ambrée,"6,5 %",Brasserie de la Lesse,Brasserie de la Lesse,Rochefort,Namur,"Cambrée, Chinette, Rouge Croix",,
Cambrinus,Ale,"5,1 %",Brasserie Verhaeghe,Brasserie Verhaeghe,Vichte,Flandre-Occidentale,"Duchesse de Bourgogne, Barbe, Cambrinus",,
Campus Premium,Pils,5 %,Brasserie Huyghe,Brasserie Huyghe,Melle,Flandre-Orientale,"Delirium Tremens, Floris, Mongozo, Sint-Idesbald",,
Campus,Brune,7 %,Brasserie Huyghe,Brasserie Huyghe,Melle,Flandre-Orientale,"Delirium Tremens, Floris, Mongozo, Sint-Idesbald",,
Campus Gold,Blonde,"6,2 %",Brasserie Huyghe,Brasserie Huyghe,Melle,Flandre-Orientale,"Delirium Tremens, Floris, Mongozo, Sint-Idesbald",,
Canaille,Blanche,"5,2 %",Brasserie Grain d'Orge,Brasserie Grain d'Orge,Plombières,Liège,"Brice, Joup",1 360,"50° 43′ 26,28″ N, 5° 55′ 10,46″ E"
Canaster,Ale,"8,7 %",Brasserie De Glazen Toren,Brasserie De Glazen Toren,Erpe-Mere,Flandre-Orientale,"Saison d'Erpe-Mere, Canaster, Ondineke",,
Cantillon Fou'Foune,Gueuze,5 %,Brasserie Cantillon,Brasserie Cantillon,Anderlecht,Bruxelles,Cantillon,,"50° 50′ 29,25″ N, 4° 20′ 08,27″ E"
Cantillon Grand Cru Bruocsella,Gueuze,5 %,Brasserie Cantillon,Brasserie Cantillon,Anderlecht,Bruxelles,Cantillon,,"50° 50′ 29,25″ N, 4° 20′ 08,27″ E"
Cantillon Gueuze 100% Lambic,Gueuze,5 %,Brasserie Cantillon,Brasserie Cantillon,Anderlecht,Bruxelles,Cantillon,,"50° 50′ 29,25″ N, 4° 20′ 08,27″ E"
Cantillon Gueuze 100% Lambic Bio,Gueuze,5 %,Brasserie Cantillon,Brasserie Cantillon,Anderlecht,Bruxelles,Cantillon,,"50° 50′ 29,25″ N, 4° 20′ 08,27″ E"
"Cantillon Gueuze ""drapeau belge""",Gueuze,5 %,Brasserie Cantillon,Brasserie Cantillon,Anderlecht,Bruxelles,Cantillon,,"50° 50′ 29,25″ N, 4° 20′ 08,27″ E"
Cantillon Iris 2000,Gueuze,5 %,Brasserie Cantillon,Brasserie Cantillon,Anderlecht,Bruxelles,Cantillon,,"50° 50′ 29,25″ N, 4° 20′ 08,27″ E"
Cantillon Kriek 100% Lambic,Lambic,5 %,Brasserie Cantillon,Brasserie Cantillon,Anderlecht,Bruxelles,Cantillon,,"50° 50′ 29,25″ N, 4° 20′ 08,27″ E"
Cantillon Lou Pepe,Gueuze,5 %,Brasserie Cantillon,Brasserie Cantillon,Anderlecht,Bruxelles,Cantillon,,"50° 50′ 29,25″ N, 4° 20′ 08,27″ E"
Cantillon Rosé de Gambrinus,Gueuze,5 %,Brasserie Cantillon,Brasserie Cantillon,Anderlecht,Bruxelles,Cantillon,,"50° 50′ 29,25″ N, 4° 20′ 08,27″ E"
Cantillon Lou Pepe Framboise,Gueuze,5 %,Brasserie Cantillon,Brasserie Cantillon,Anderlecht,Bruxelles,Cantillon,,"50° 50′ 29,25″ N, 4° 20′ 08,27″ E"
Cantillon Saint Lamvinus,Gueuze,5 %,Brasserie Cantillon,Brasserie Cantillon,Anderlecht,Bruxelles,Cantillon,,"50° 50′ 29,25″ N, 4° 20′ 08,27″ E"
Cantillon Vigneronne,Gueuze,5 %,Brasserie Cantillon,Brasserie Cantillon,Anderlecht,Bruxelles,Cantillon,,"50° 50′ 29,25″ N, 4° 20′ 08,27″ E"
Caper Fumatis,Brune,"6,3 %",Brasserie Alvinne,Brasserie Alvinne,Zwevegem,Flandre-Occidentale,Alvinne,,"50° 46′ 17,18″ N, 3° 23′ 24,7″ E"
Capoen,Ambrée,"6,5 %",De Proefbrouwerij,De Proefbrouwerij,Lochristi,Flandre-Occidentale,bières à façon,,
Captain Cooker Manuka Beer,Ambrée,"5,7 %",De Proefbrouwerij pour Captain Cooker,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Captain Cooker White Manuka Beer,Blanche,"4,5 %",De Proefbrouwerij pour Captain Cooker,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Cara Pils,Pils,"4,9 %",Alken-Maes (Heineken),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Caracole,"Fermentation haute, Ambrée",8 %,Brasserie Caracole,Brasserie Caracole,Dinant,Namur,"Troublette, Caracole",1 600,"50° 12′ 10,93″ N, 4° 53′ 32″ E"
Car d'Or,Blonde,6.5 %,Brasserie St-Feuillien,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Carioca,Blanche,"4,8 %",Brasserie de Bastogne par la Brasserie du Lion à Plume,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Carlos,"Brune, Fermentation haute","6,5 %",Brasserie Contreras,Brasserie Contreras,Gavere,Flandre-Orientale,"Contrapils, Valeir",,
Carnavalsbière,Blonde,"6,1 %",Brasserie De Graal pour Vacas,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Carrousel,"Fermentation haute, Blonde",6 %,Brasserie De Vlier,Brasserie De Vlier,Holsbeek,Brabant flamand,Kessel,,
Caulier Brune,"Fermentation haute, Ambrée-brune","6,8 %",De Proefbrouwerij pour The House of Caulier,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Caulier Special Extra,"Fermentation haute, Blonde","4,3 %",De Proefbrouwerij pour The House of Caulier,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Caulier Blonde,"Fermentation haute, Blonde","6,8 %",De Proefbrouwerij pour The House of Caulier,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Ceci n'est pas un Barley Wine,Barley wine,10 %,Brasserie Sainte-Hélène,Brasserie Sainte-Hélène,Virton,Luxembourg,"Mistinguett, Gipsy Rose, Lily Blue",,"49° 34′ 54,01″ N, 5° 34′ 12,45″ E"
Ceci n'est pas une Saison,Saison,"6,5 %",'t Hofbrouwerijke,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Ceci n'est pas une Stout,Stout,"6,5 %",'t Hofbrouwerijke,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Ceci n'est pas une Triple,Triple,8 %,'t Hofbrouwerijke,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
La Céleste,Blonde,"6,5 %",Brasserie Grain d'Orge,Brasserie Grain d'Orge,Plombières,Liège,"Brice, Joup",1 360,"50° 43′ 26,28″ N, 5° 55′ 10,46″ E"
Celestus,Lager,5 %,Brasserie Haacht,Brasserie Haacht,Boortmeerbeek,Brabant flamand,"Charles Quint, Eupener Bier, Primus, Coq Hardi; Tongerlo",,
Celis White,Blanche,5 %,Brasserie Van Steenberge,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Celtic Angel,"Fermentation haute, Ambrée","6,2 %",De Proefbrouwerij pour la Microbrasserie Achilles,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Cervesia,"Fermentation haute, Blonde",8 %,Brasserie Dupont,Brasserie Dupont,Leuze-en-Hainaut,Hainaut,"Moinette, Saison Dupont",18 000,"50° 34′ 18,98″ N, 3° 39′ 02,29″ E"
Cervoise de l'Avouerie d'Anthisnes,Ambrée,5 %,Brasserie Saint-Monon,Brasserie Saint-Monon,Nassogne,Luxembourg,Saint-Monon,600,"50° 08′ 29,32″ N, 5° 18′ 50,35″ E"
Cesar,Triple,"8,5 %",Brasserie Van Steenberge,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Cezarken,Lager,"5,5 %",Brasserie Strubbe pour la Brasserie Crombé,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Chapeau Gueuze,Gueuze,"5,5 %",Brasserie De Troch,Brasserie De Troch,Ternat,Brabant flamand,Chapeau,,
Chapeau Abricot,Fruitée à base de Lambic,"3,5 %",Brasserie De Troch,Brasserie De Troch,Ternat,Brabant flamand,Chapeau,,
Chapeau Banana,Fruitée à base de Lambic,"3,5 %",Brasserie De Troch,Brasserie De Troch,Ternat,Brabant flamand,Chapeau,,
Chapeau Cuvée Oude Gueuze,Gueuze,"5,5 %",Brasserie De Troch,Brasserie De Troch,Ternat,Brabant flamand,Chapeau,,
Chapeau Exotic (ananas),Fruitée à base de Lambic,"3,5 %",Brasserie De Troch,Brasserie De Troch,Ternat,Brabant flamand,Chapeau,,
Chapeau Faro,Faro,"4,75 %",Brasserie De Troch,Brasserie De Troch,Ternat,Brabant flamand,Chapeau,,
Chapeau Fraises,Fruitée à base de Lambic,"3,5 %",Brasserie De Troch,Brasserie De Troch,Ternat,Brabant flamand,Chapeau,,
Chapeau Framboise,Fruitée à base de Lambic,"3,5 %",Brasserie De Troch,Brasserie De Troch,Ternat,Brabant flamand,Chapeau,,
Chapeau Kriek,Fruitée à base de Lambic,"3,5 %",Brasserie De Troch,Brasserie De Troch,Ternat,Brabant flamand,Chapeau,,
Chapeau Lemon,Fruitée à base de Lambic,"3,5 %",Brasserie De Troch,Brasserie De Troch,Ternat,Brabant flamand,Chapeau,,
Chapeau Mirabelle,Fruitée à base de Lambic,"3,5 %",Brasserie De Troch,Brasserie De Troch,Ternat,Brabant flamand,Chapeau,,
Chapeau Pêche,Fruitée à base de Lambic,"3,5 %",Brasserie De Troch,Brasserie De Troch,Ternat,Brabant flamand,Chapeau,,
Chapeau Winter Gueuze,"Gueuze, Bière de Noël","5,6 %",Brasserie De Troch,Brasserie De Troch,Ternat,Brabant flamand,Chapeau,,
Charles Quint Blonde Dorée,Blonde,"8,5 %",Brasserie Haacht,Brasserie Haacht,Boortmeerbeek,Brabant flamand,"Charles Quint, Eupener Bier, Primus, Coq Hardi; Tongerlo",,
Charles Quint Rouge Rubis,Rouge,"8,5 %",Brasserie Haacht,Brasserie Haacht,Boortmeerbeek,Brabant flamand,"Charles Quint, Eupener Bier, Primus, Coq Hardi; Tongerlo",,
La Chérie,Fruitée,5 %,Brasserie du Val de Sambre,Brasserie du Val de Sambre,Thuin,Hainaut,"Abbaye d'Aulne, Blanche de Charleroi, Heylissem",,"50° 21′ 55,54″ N, 4° 19′ 52,82″ E"
La Chèvenis,Fermentation haute,6 %,Brasserie de Bouillon,Brasserie de Bouillon,Bouillon,Luxembourg,"La Médiévale, Cuvée de Bouillon",,"49° 49′ 30,47″ N, 5° 05′ 11,55″ E"
Chevetogne,Blonde,6.2 %,Brasserie des Fagnes,Brasserie des Fagnes,Couvin,Namur,Super des Fagnes,,"50° 05′ 01,1″ N, 4° 31′ 23,95″ E"
Chimay Bleue,Trappiste,9 %,Abbaye Notre-Dame de Scourmont,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Chimay Rouge,Trappiste,7 %,Abbaye Notre-Dame de Scourmont,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Chimay Triple,Triple,8 %,Abbaye Notre-Dame de Scourmont,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Chimay Dorée,"Blonde, Bière de table","4,8 %",Abbaye Notre-Dame de Scourmont,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
La Chinette,Blonde,6 %,Brasserie de la Lesse,Brasserie de la Lesse,Rochefort,Namur,"Cambrée, Chinette, Rouge Croix",,
La Chouffe,"Blonde, Fermentation haute",8 %,Brasserie d'Achouffe (Brasserie Duvel Moortgat),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Chouffe Bok 6666,Ambrée,6 %,Brasserie d'Achouffe (Brasserie Duvel Moortgat),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Chouffe Houblon Dobbelen IPA Triple,IPA,9 %,Brasserie d'Achouffe (Brasserie Duvel Moortgat),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Chouffe Soleil,Blonde,6 %,Brasserie d'Achouffe (Brasserie Duvel Moortgat),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Christmas Leroy,"Fermentation haute, Bière de Noël","7,5 %",Brasserie Van Eecke,Brasserie Van Eecke,Poperinge,Flandre-Occidentale,"Kapittel, Hommelbier",,
Christmas-Verhaeghe,"Fermentation haute, Bière de Noël","7,2 %",Brasserie Verhaeghe,Brasserie Verhaeghe,Vichte,Flandre-Occidentale,"Duchesse de Bourgogne, Barbe, Cambrinus",,
Christmas Pale Ale,"Fermentation haute, Bière de Noël","6,3 %",Brasserie De Ryck,Brasserie De Ryck,Herzele,Flandre-Orientale,Arend,,
Ciney Blonde,"Fermentation haute, Blonde",7 %,Alken-Maes (Heineken),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Ciney Brune,"Fermentation haute, Brune",7 %,Alken-Maes (Heineken),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Cluysenaer,Fermentation haute,7 %,De Proefbrouwerij pour la Brasserie Cluysenaer,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Cnudde Bizon,Fruitée,"5,5 %",Brasserie Cnudde,Brasserie Cnudde,Audenarde,Flandre-Orientale,Cnudde,,
Cnudde Oudenaards bruin (Kerkhofbière),Vieille brune,5 %,Brasserie Cnudde,Brasserie Cnudde,Audenarde,Flandre-Orientale,Cnudde,,
Couckelaerschen Doedel,Ambrée,"6,5 %",Brasserie Strubbe,Brasserie Strubbe,Ichtegem,Flandre-Occidentale,"Strubbe Pils, Dikke Mathile, Houten Kop",,
Colère Rouge,Ale,5 %,Brasserie Millevertus,Brasserie Millevertus,Tintigny,Luxembourg,"Douce Vertus, Bella Mère, Mère Vertus",,"49° 41′ 43,01″ N, 5° 29′ 32,04″ E"
Content,Triple,"7,5 %",Brasserie De Graal pour la De VerhuisBrasserie,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Contrapils,Pils,5 %,Brasserie Contreras,Brasserie Contreras,Gavere,Flandre-Orientale,"Contrapils, Valeir",,
Contreras' Especial Mars,"Fermentation haute, Bière de saison","6,5 %",Brasserie Contreras,Brasserie Contreras,Gavere,Flandre-Orientale,"Contrapils, Valeir",,
Cookie Beer,Spéciale,8 %,Brasserie d'Écaussinnes,Brasserie d'Écaussinnes,Écaussinnes,Hainaut,"1830, Ultra",,"50° 33′ 30,17″ N, 4° 08′ 06,91″ E"
Coq Hardi,"Fermentation basse, Blonde","5,5 %",Brasserie Haacht,Brasserie Haacht,Boortmeerbeek,Brabant flamand,"Charles Quint, Eupener Bier, Primus, Coq Hardi; Tongerlo",,
La Corne du Bois des Pendus Blonde,"Fermentation haute, Blonde","5,9 %",Brasserie des Légendes,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
La Corne du Bois des Pendus Triple,"Fermentation haute, Triple",7 %,Brasserie des Légendes,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Corsendonk Agnus,"Blonde, Triple","7,50%",Brasserie du Bocq pour la Brasserie Corsendonk,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Corsendonk Blonde,Fermentation haute,"6,5 %",Brasserie du Bocq pour la Brasserie Corsendonk,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Corsendonk Brune,Fermentation haute,"6,50%",Brasserie du Bocq pour la Brasserie Corsendonk,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Corsendonk Christmas Ale,Bière de Noël,"8,5 %",Brasserie du Bocq pour la Brasserie Corsendonk,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Corsendonk Pater,"Rouge-brune, Double","7,50%",Brasserie du Bocq pour la Brasserie Corsendonk,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Corsendonk Rousse,"Ambrée, Fermentation haute",8 %,Brasserie du Bocq pour la Brasserie Corsendonk,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Corsendonk Triple 11.11.11,Triple (Bière-étiquette),"7,50%",Brasserie du Bocq pour la Brasserie Corsendonk,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Couckelaerschen Doedel,Fermentation haute,"6,5 %",Brasserie Strubbe,Brasserie Strubbe,Ichtegem,Flandre-Occidentale,"Strubbe Pils, Dikke Mathile, Houten Kop",,
Courage,"Fermentation haute, Bière de Noël",8 %,Brasserie De Dochter van de Korenaar,Brasserie De Dochter van de Korenaar,Baerle-Duc,Anvers,"Noblesse, Finesse, Bravoure, Courage",,
Coy'Heimsen,Rouge-brune (Bière-étiquette),6 %,Brasserie Van Eecke,Brasserie Van Eecke,Poperinge,Flandre-Occidentale,"Kapittel, Hommelbier",,
Crack Pils,"Fermentation basse, Pils",5 %,Brasserie Het Sas,Brasserie Het Sas,Ypres,Flandre-Occidentale,"Sas Pils, Paulus,Yperman",,
La Cre Tonnerre,"Fermentation haute, Triple",7 %,Brasserie de Silly,Brasserie de Silly,Silly,Hainaut,"Abbaye de Forest, Double Enghien, Pink Killer, Silly Pils",,"50° 38′ 58,23″ N, 3° 55′ 30,25″ E"
Crianza,Lambic,7 %,Brasserie de la Senne,Brasserie de la Senne,Molenbeek-Saint-Jean,Bruxelles,"Zinnebier, Taras Boulba, Stouterik",,"50° 51′ 36,86″ N, 4° 18′ 30,09″ E"
Cristal Alken,"Fermentation basse, Pils","4,8 %",Alken-Maes (Heineken),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Cristal 1928,"Fermentation basse, Pils","5,8 %",Alken-Maes (Heineken),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Curtius,"Blonde, Triple",7 %,Microbrasserie de la Principauté,Microbrasserie de la Principauté,Liège,Liège,Curtius,450,"50° 39′ 10,37″ N, 5° 35′ 27,74″ E"
Cuvée Angélique,"Double, Spéciale","8,3 %",Brasserie De Glazen Toren,Brasserie De Glazen Toren,Erpe-Mere,Flandre-Orientale,"Saison d'Erpe-Mere, Canaster, Ondineke",,
Cuvée de Bouillon,"Blonde, Fermentation haute","6,5 %",Brasserie de Bouillon,Brasserie de Bouillon,Bouillon,Luxembourg,"La Médiévale, Cuvée de Bouillon",,"49° 49′ 30,47″ N, 5° 05′ 11,55″ E"
Cuvée de Briqville,,7 %,Brasserie Van Steenberge,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Cuvée de Francorchamps,(Bière-étiquette),8 %,Brasserie Lefebvre,Brasserie Lefebvre,Rebecq,Brabant wallon,"Barbar, Blanche de Bruxelles, Floreffe",,"50° 40′ 28,61″ N, 4° 09′ 07,67″ E"
Cuvée De Ranke,Fermentation mixte,7 %,Brasserie De Ranke,Brasserie De Ranke,Mouscron,Hainaut,"Guldenberg, Saison de Dottignies, Cuvée De Ranke",,
Cuvée des Trolls,"Fermentation haute, Blonde",7 %,Brasserie Dubuisson,Brasserie Dubuisson,Leuze-en-Hainaut,Hainaut,"Bush, Cuvée des Trolls",22 000,"50° 35′ 16,88″ N, 3° 32′ 32,7″ E"
Cuvée des Trolls Triple,"Blonde, Triple",7 %,Brasserie Dubuisson,Brasserie Dubuisson,Leuze-en-Hainaut,Hainaut,"Bush, Cuvée des Trolls",22 000,"50° 35′ 16,88″ N, 3° 32′ 32,7″ E"
Cuvée Delphine,Stout,13 %,De Struise Brouwers par la Brasserie Deca,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Cuvée d'Erpigny,Quadruple,15 %,Brasserie Alvinne,Brasserie Alvinne,Zwevegem,Flandre-Occidentale,Alvinne,,"50° 46′ 17,18″ N, 3° 23′ 24,7″ E"
La cuvée du Boulanger,Blonde,6 %,Brasserie de Bouillon,Brasserie de Bouillon,Bouillon,Luxembourg,"La Médiévale, Cuvée de Bouillon",,"49° 49′ 30,47″ N, 5° 05′ 11,55″ E"
Cuvée du Château,Brune,11 %,Brasserie Van Honsebrouck,Brasserie Van Honsebrouck,Ingelmunster,Flandre-Occidentale,"Kasteel, St-Louis, Brigand, Bacchus",,
